,AGCODE,WEIGHT,PRICE,YEAR
0,총계,"11,740,564","6,912,296",2014년01월
1,1농산물-계,"11,700,907","6,743,633",2014년01월
2,111곡류-계,"3,768,247","3,208,857",2014년01월
3,11101쌀-계,"3,768,247","3,208,857",2014년01월
4,112서류-계,"14,400","40,360",2014년01월
5,11201감자-계,"14,400","40,360",2014년01월
6,11202고구마-계,0,0,2014년01월
7,116과실류-계,0,0,2014년01월
8,11601사과-계,0,0,2014년01월
9,121채소류-계,"7,918,260","3,494,416",2014년01월
10,12113시금치-계,0,0,2014년01월
11,12121무-계,"1,920,952","472,688",2014년01월
12,12123당근-계,"4,338,008","2,331,745",2014년01월
13,12132오이-계,"1,659,300","689,983",2014년01월
14,12161고추-계,0,0,2014년01월
15,2축산물-계,"39,657","168,663",2014년01월
16,222가금육류-계,0,0,2014년01월
17,22201닭고기-계,0,0,2014년01월
18,242난류-계,"39,657","168,663",2014년01월
19,24201조란-계,"39,657","168,663",2014년01월
20,총계,"30,903,005","27,561,641",2015년01월
21,1농산물-계,"30,839,371","27,286,013",2015년01월
22,111곡류-계,"24,468,028","24,813,711",2015년01월
23,11101쌀-계,"24,468,028","24,813,711",2015년01월
24,112서류-계,0,6,2015년01월
25,11201감자-계,0,6,2015년01월
26,11202고구마-계,0,0,2015년01월
27,116과실류-계,0,0,2015년01월
28,11601사과-계,0,0,2015년01월
29,121채소류-계,"6,371,343","2,472,296",2015년01월
30,12113시금치-계,4,43,2015년01월
31,12121무-계,"497,200","111,767",2015년01월
32,12123당근-계,"4,587,939","1,915,826",2015년01월
33,12132오이-계,"1,286,200","444,660",2015년01월
34,12161고추-계,0,0,2015년01월
35,2축산물-계,"63,634","275,628",2015년01월
36,222가금육류-계,0,0,2015년01월
37,22201닭고기-계,0,0,2015년01월
38,242난류-계,"63,634","275,628",2015년01월
39,24201조란-계,"63,634","275,628",2015년01월
0,총계,"18,561,210","11,009,372",2014년02월
1,1농산물-계,"18,473,474","10,622,140",2014년02월
2,111곡류-계,"4,340,659","3,800,505",2014년02월
3,11101쌀-계,"4,340,659","3,800,505",2014년02월
4,112서류-계,"30,460","85,508",2014년02월
5,11201감자-계,"30,460","85,508",2014년02월
6,11202고구마-계,0,0,2014년02월
7,116과실류-계,0,0,2014년02월
8,11601사과-계,0,0,2014년02월
9,121채소류-계,"14,102,355","6,736,127",2014년02월
10,12113시금치-계,0,0,2014년02월
11,12121무-계,"2,598,092","666,786",2014년02월
12,12123당근-계,"8,539,363","4,816,222",2014년02월
13,12132오이-계,"2,964,900","1,253,119",2014년02월
14,12161고추-계,0,0,2014년02월
15,2축산물-계,"87,736","387,232",2014년02월
16,242난류-계,"87,736","387,232",2014년02월
17,24201조란-계,"87,736","387,232",2014년02월
18,총계,"43,711,079","34,656,422",2015년02월
19,1농산물-계,"43,643,398","34,289,503",2015년02월
20,111곡류-계,"29,133,074","28,262,145",2015년02월
21,11101쌀-계,"29,133,074","28,262,145",2015년02월
22,112서류-계,"17,000","45,357",2015년02월
23,11201감자-계,"17,000","45,357",2015년02월
24,11202고구마-계,0,0,2015년02월
25,116과실류-계,0,0,2015년02월
26,11601사과-계,0,0,2015년02월
27,121채소류-계,"14,493,324","5,982,001",2015년02월
28,12113시금치-계,4,43,2015년02월
29,12121무-계,"866,464","198,442",2015년02월
30,12123당근-계,"10,890,656","4,837,832",2015년02월
31,12132오이-계,"2,736,200","945,684",2015년02월
32,12161고추-계,0,0,2015년02월
33,2축산물-계,"67,681","366,919",2015년02월
34,242난류-계,"67,681","366,919",2015년02월
35,24201조란-계,"67,681","366,919",2015년02월
0,총계,"28,217,419","16,037,916",2014년03월
1,1농산물-계,"28,124,930","15,542,308",2014년03월
2,111곡류-계,"4,377,416","3,861,747",2014년03월
3,11101쌀-계,"4,377,416","3,861,747",2014년03월
4,112서류-계,"46,519","130,625",2014년03월
5,11201감자-계,"46,519","130,625",2014년03월
6,11202고구마-계,0,0,2014년03월
7,116과실류-계,0,0,2014년03월
8,11601사과-계,0,0,2014년03월
9,121채소류-계,"23,700,995","11,549,936",2014년03월
10,12113시금치-계,0,0,2014년03월
11,12121무-계,"3,405,482","895,968",2014년03월
12,12123당근-계,"15,557,873","8,644,577",2014년03월
13,12132오이-계,"4,737,640","2,009,391",2014년03월
14,12161고추-계,0,0,2014년03월
15,2축산물-계,"92,489","495,608",2014년03월
16,242난류-계,"92,489","495,608",2014년03월
17,24201조란-계,"92,489","495,608",2014년03월
18,총계,"67,823,281","53,399,480",2015년03월
19,1농산물-계,"67,704,984","52,769,327",2015년03월
20,111곡류-계,"42,191,677","41,960,038",2015년03월
21,11101쌀-계,"42,191,677","41,960,038",2015년03월
22,112서류-계,"32,982","89,698",2015년03월
23,11201감자-계,"32,982","89,698",2015년03월
24,11202고구마-계,0,0,2015년03월
25,116과실류-계,0,0,2015년03월
26,11601사과-계,0,0,2015년03월
27,121채소류-계,"25,480,325","10,719,591",2015년03월
28,12113시금치-계,4,43,2015년03월
29,12121무-계,"1,405,568","305,761",2015년03월
30,12123당근-계,"20,561,052","9,173,212",2015년03월
31,12132오이-계,"3,513,701","1,240,575",2015년03월
32,12161고추-계,0,0,2015년03월
33,2축산물-계,"118,297","630,153",2015년03월
34,242난류-계,"118,297","630,153",2015년03월
35,24201조란-계,"118,297","630,153",2015년03월
0,총계,"39,409,343","21,725,697",2014년04월
1,1농산물-계,"39,268,198","21,008,613",2014년04월
2,111곡류-계,"4,470,387","3,975,746",2014년04월
3,11101쌀-계,"4,470,387","3,975,746",2014년04월
4,112서류-계,"78,519","219,364",2014년04월
5,11201감자-계,"78,519","219,364",2014년04월
6,11202고구마-계,0,0,2014년04월
7,116과실류-계,0,0,2014년04월
8,11601사과-계,0,0,2014년04월
9,121채소류-계,"34,719,292","16,813,503",2014년04월
10,12113시금치-계,0,0,2014년04월
11,12121무-계,"3,910,522","1,045,621",2014년04월
12,12123당근-계,"24,523,273","13,093,990",2014년04월
13,12132오이-계,"6,285,497","2,673,892",2014년04월
14,12161고추-계,0,0,2014년04월
15,2축산물-계,"141,145","717,084",2014년04월
16,242난류-계,"141,145","717,084",2014년04월
17,24201조란-계,"141,145","717,084",2014년04월
18,총계,"92,907,259","71,118,845",2015년04월
19,1농산물-계,"92,763,327","70,308,557",2015년04월
20,111곡류-계,"53,692,537","53,988,720",2015년04월
21,11101쌀-계,"53,692,537","53,988,720",2015년04월
22,112서류-계,"49,041","134,411",2015년04월
23,11201감자-계,"49,041","134,411",2015년04월
24,11202고구마-계,0,0,2015년04월
25,116과실류-계,0,0,2015년04월
26,11601사과-계,0,0,2015년04월
27,121채소류-계,"39,021,749","16,185,426",2015년04월
28,12113시금치-계,4,43,2015년04월
29,12121무-계,"1,599,968","356,307",2015년04월
30,12123당근-계,"32,273,576","14,031,610",2015년04월
31,12132오이-계,"5,148,201","1,797,466",2015년04월
32,12161고추-계,0,0,2015년04월
33,2축산물-계,"143,932","810,288",2015년04월
34,242난류-계,"143,932","810,288",2015년04월
35,24201조란-계,"143,932","810,288",2015년04월
0,총계,"49,202,500","26,556,024",2014년05월
1,1농산물-계,"49,015,823","25,618,914",2014년05월
2,111곡류-계,"4,490,502","4,012,035",2014년05월
3,11101쌀-계,"4,490,502","4,012,035",2014년05월
4,112서류-계,"94,519","263,734",2014년05월
5,11201감자-계,"94,519","263,734",2014년05월
6,11202고구마-계,0,0,2014년05월
7,116과실류-계,0,0,2014년05월
8,11601사과-계,0,0,2014년05월
9,121채소류-계,"44,430,802","21,343,145",2014년05월
10,12113시금치-계,0,0,2014년05월
11,12121무-계,"4,461,322","1,202,041",2014년05월
12,12123당근-계,"31,966,143","16,701,495",2014년05월
13,12132오이-계,"8,003,337","3,439,609",2014년05월
14,12161고추-계,0,0,2014년05월
15,2축산물-계,"186,677","937,110",2014년05월
16,242난류-계,"186,677","937,110",2014년05월
17,24201조란-계,"186,677","937,110",2014년05월
18,총계,"103,366,113","78,174,371",2015년05월
19,1농산물-계,"103,175,913","77,120,199",2015년05월
20,111곡류-계,"57,899,831","58,361,079",2015년05월
21,11101쌀-계,"57,899,831","58,361,079",2015년05월
22,112서류-계,"79,593","219,486",2015년05월
23,11201감자-계,"79,593","219,486",2015년05월
24,11202고구마-계,0,0,2015년05월
25,116과실류-계,0,0,2015년05월
26,11601사과-계,0,0,2015년05월
27,121채소류-계,"45,196,489","18,539,634",2015년05월
28,12113시금치-계,4,43,2015년05월
29,12121무-계,"1,891,568","432,161",2015년05월
30,12123당근-계,"37,182,112","15,978,346",2015년05월
31,12132오이-계,"6,122,805","2,129,084",2015년05월
32,12161고추-계,0,0,2015년05월
33,2축산물-계,"190,200","1,054,172",2015년05월
34,242난류-계,"190,200","1,054,172",2015년05월
35,24201조란-계,"190,200","1,054,172",2015년05월
0,총계,"60,939,920","31,841,118",2014년06월
1,1농산물-계,"60,725,744","30,731,365",2014년06월
2,111곡류-계,"4,513,239","4,063,554",2014년06월
3,11101쌀-계,"4,513,239","4,063,554",2014년06월
4,112서류-계,"94,519","263,734",2014년06월
5,11201감자-계,"94,519","263,734",2014년06월
6,11202고구마-계,0,0,2014년06월
7,116과실류-계,0,0,2014년06월
8,11601사과-계,0,0,2014년06월
9,121채소류-계,"56,117,986","26,404,077",2014년06월
10,12113시금치-계,0,0,2014년06월
11,12121무-계,"5,063,530","1,377,466",2014년06월
12,12123당근-계,"41,759,643","21,003,952",2014년06월
13,12132오이-계,"9,294,813","4,022,659",2014년06월
14,12161고추-계,0,0,2014년06월
15,2축산물-계,"214,176","1,109,753",2014년06월
16,242난류-계,"214,176","1,109,753",2014년06월
17,24201조란-계,"214,176","1,109,753",2014년06월
18,총계,"118,148,772","87,519,563",2015년06월
19,1농산물-계,"117,903,296","86,168,178",2015년06월
20,111곡류-계,"62,865,581","63,588,072",2015년06월
21,11101쌀-계,"62,865,581","63,588,072",2015년06월
22,112서류-계,"94,215","260,365",2015년06월
23,11201감자-계,"94,215","260,365",2015년06월
24,11202고구마-계,0,0,2015년06월
25,116과실류-계,0,0,2015년06월
26,11601사과-계,0,0,2015년06월
27,121채소류-계,"54,943,500","22,319,741",2015년06월
28,12113시금치-계,4,56,2015년06월
29,12121무-계,"1,988,769","457,466",2015년06월
30,12123당근-계,"45,328,322","19,215,254",2015년06월
31,12132오이-계,"7,626,405","2,646,965",2015년06월
32,12161고추-계,0,0,2015년06월
33,2축산물-계,"245,476","1,351,385",2015년06월
34,242난류-계,"245,476","1,351,385",2015년06월
35,24201조란-계,"245,476","1,351,385",2015년06월
0,총계,"71,668,087","36,619,502",2014년07월
1,1농산물-계,"71,432,331","35,403,313",2014년07월
2,111곡류-계,"4,534,106","4,110,737",2014년07월
3,11101쌀-계,"4,534,106","4,110,737",2014년07월
4,112서류-계,"126,519","352,474",2014년07월
5,11201감자-계,"126,519","352,474",2014년07월
6,11202고구마-계,0,0,2014년07월
7,116과실류-계,0,0,2014년07월
8,11601사과-계,0,0,2014년07월
9,121채소류-계,"66,771,706","30,940,102",2014년07월
10,12113시금치-계,0,0,2014년07월
11,12121무-계,"5,646,730","1,543,934",2014년07월
12,12123당근-계,"50,511,763","24,835,504",2014년07월
13,12132오이-계,"10,613,213","4,560,664",2014년07월
14,12161고추-계,0,0,2014년07월
15,2축산물-계,"235,756","1,216,189",2014년07월
16,242난류-계,"235,756","1,216,189",2014년07월
17,24201조란-계,"235,756","1,216,189",2014년07월
18,총계,"132,241,508","96,505,820",2015년07월
19,1농산물-계,"131,963,188","94,981,653",2015년07월
20,111곡류-계,"66,615,860","67,557,234",2015년07월
21,11101쌀-계,"66,615,860","67,557,234",2015년07월
22,112서류-계,"140,746","456,056",2015년07월
23,11201감자-계,"140,746","456,056",2015년07월
24,11202고구마-계,0,0,2015년07월
25,116과실류-계,0,0,2015년07월
26,11601사과-계,0,0,2015년07월
27,121채소류-계,"65,206,582","26,968,363",2015년07월
28,12113시금치-계,8,97,2015년07월
29,12121무-계,"2,394,897","569,626",2015년07월
30,12123당근-계,"53,871,852","23,302,621",2015년07월
31,12132오이-계,"8,939,825","3,096,019",2015년07월
32,12161고추-계,0,0,2015년07월
33,2축산물-계,"278,320","1,524,167",2015년07월
34,242난류-계,"278,320","1,524,167",2015년07월
35,24201조란-계,"278,320","1,524,167",2015년07월
0,총계,"80,574,968","40,581,998",2014년08월
1,1농산물-계,"80,298,866","39,169,755",2014년08월
2,111곡류-계,"4,607,661","4,206,462",2014년08월
3,11101쌀-계,"4,607,661","4,206,462",2014년08월
4,112서류-계,"126,519","352,474",2014년08월
5,11201감자-계,"126,519","352,474",2014년08월
6,11202고구마-계,0,0,2014년08월
7,116과실류-계,0,0,2014년08월
8,11601사과-계,0,0,2014년08월
9,121채소류-계,"75,564,686","34,610,819",2014년08월
10,12113시금치-계,0,0,2014년08월
11,12121무-계,"6,048,410","1,660,664",2014년08월
12,12123당근-계,"58,002,763","28,033,657",2014년08월
13,12132오이-계,"11,513,513","4,916,498",2014년08월
14,12161고추-계,0,0,2014년08월
15,2축산물-계,"276,102","1,412,243",2014년08월
16,242난류-계,"276,102","1,412,243",2014년08월
17,24201조란-계,"276,102","1,412,243",2014년08월
18,총계,"139,227,277","100,330,940",2015년08월
19,1농산물-계,"138,918,765","98,640,181",2015년08월
20,111곡류-계,"66,999,337","67,987,764",2015년08월
21,11101쌀-계,"66,999,337","67,987,764",2015년08월
22,112서류-계,"215,446","664,097",2015년08월
23,11201감자-계,"215,446","664,097",2015년08월
24,11202고구마-계,0,0,2015년08월
25,116과실류-계,0,0,2015년08월
26,11601사과-계,0,0,2015년08월
27,121채소류-계,"71,703,982","29,988,320",2015년08월
28,12113시금치-계,8,97,2015년08월
29,12121무-계,"2,395,097","570,526",2015년08월
30,12123당근-계,"59,283,352","25,929,274",2015년08월
31,12132오이-계,"10,025,525","3,488,423",2015년08월
32,12161고추-계,0,0,2015년08월
33,2축산물-계,"308,512","1,690,759",2015년08월
34,242난류-계,"308,512","1,690,759",2015년08월
35,24201조란-계,"308,512","1,690,759",2015년08월
0,총계,"99,735,175","52,426,494",2014년09월
1,1농산물-계,"99,435,490","50,865,787",2014년09월
2,111곡류-계,"11,198,055","10,867,909",2014년09월
3,11101쌀-계,"11,198,055","10,867,909",2014년09월
4,112서류-계,"142,519","396,843",2014년09월
5,11201감자-계,"142,519","396,843",2014년09월
6,11202고구마-계,0,0,2014년09월
7,116과실류-계,0,0,2014년09월
8,11601사과-계,0,0,2014년09월
9,121채소류-계,"88,094,916","39,601,035",2014년09월
10,12113시금치-계,0,0,2014년09월
11,12121무-계,"6,437,210","1,771,642",2014년09월
12,12123당근-계,"68,936,393","32,434,196",2014년09월
13,12132오이-계,"12,721,313","5,395,197",2014년09월
14,12161고추-계,0,0,2014년09월
15,2축산물-계,"299,685","1,560,707",2014년09월
16,242난류-계,"299,685","1,560,707",2014년09월
17,24201조란-계,"299,685","1,560,707",2014년09월
18,총계,"149,432,307","105,092,635",2015년09월
19,1농산물-계,"149,082,650","103,225,582",2015년09월
20,111곡류-계,"67,018,844","68,027,350",2015년09월
21,11101쌀-계,"67,018,844","68,027,350",2015년09월
22,112서류-계,"247,478","753,035",2015년09월
23,11201감자-계,"247,478","753,035",2015년09월
24,11202고구마-계,0,0,2015년09월
25,116과실류-계,0,0,2015년09월
26,11601사과-계,0,0,2015년09월
27,121채소류-계,"81,816,328","34,445,197",2015년09월
28,12113시금치-계,8,97,2015년09월
29,12121무-계,"2,704,803","655,500",2015년09월
30,12123당근-계,"68,187,292","29,976,107",2015년09월
31,12132오이-계,"10,924,225","3,813,493",2015년09월
32,12161고추-계,0,0,2015년09월
33,2축산물-계,"349,657","1,867,053",2015년09월
34,242난류-계,"349,657","1,867,053",2015년09월
35,24201조란-계,"349,657","1,867,053",2015년09월
0,총계,"118,951,258","65,278,891",2014년10월
1,1농산물-계,"118,638,216","63,571,802",2014년10월
2,111곡류-계,"19,648,229","19,398,752",2014년10월
3,11101쌀-계,"19,648,229","19,398,752",2014년10월
4,112서류-계,"158,569","441,249",2014년10월
5,11201감자-계,"158,569","441,249",2014년10월
6,11202고구마-계,0,0,2014년10월
7,116과실류-계,1,7,2014년10월
8,11601사과-계,1,7,2014년10월
9,121채소류-계,"98,831,417","43,731,794",2014년10월
10,12113시금치-계,0,0,2014년10월
11,12121무-계,"6,775,610","1,861,610",2014년10월
12,12123당근-계,"78,013,393","35,956,166",2014년10월
13,12132오이-계,"14,042,414","5,914,018",2014년10월
14,12161고추-계,0,0,2014년10월
15,2축산물-계,"313,042","1,707,089",2014년10월
16,242난류-계,"313,042","1,707,089",2014년10월
17,24201조란-계,"313,042","1,707,089",2014년10월
18,총계,"158,204,296","110,261,545",2015년10월
19,1농산물-계,"157,845,419","108,284,674",2015년10월
20,111곡류-계,"67,079,411","68,124,334",2015년10월
21,11101쌀-계,"67,079,411","68,124,334",2015년10월
22,112서류-계,"263,488","797,464",2015년10월
23,11201감자-계,"263,488","797,464",2015년10월
24,11202고구마-계,0,0,2015년10월
25,116과실류-계,0,0,2015년10월
26,11601사과-계,0,0,2015년10월
27,121채소류-계,"90,502,520","39,362,876",2015년10월
28,12113시금치-계,8,97,2015년10월
29,12121무-계,"2,723,795","664,030",2015년10월
30,12123당근-계,"75,680,292","34,452,077",2015년10월
31,12132오이-계,"12,098,425","4,246,672",2015년10월
32,12161고추-계,0,0,2015년10월
33,2축산물-계,"358,877","1,976,871",2015년10월
34,242난류-계,"358,877","1,976,871",2015년10월
35,24201조란-계,"358,877","1,976,871",2015년10월
0,총계,"138,172,863","78,835,470",2014년11월
1,1농산물-계,"137,819,688","76,933,767",2014년11월
2,111곡류-계,"29,489,588","29,258,020",2014년11월
3,11101쌀-계,"29,489,588","29,258,020",2014년11월
4,112서류-계,"294,969","576,555",2014년11월
5,11201감자-계,"158,569","441,249",2014년11월
6,11202고구마-계,"136,400","135,306",2014년11월
7,116과실류-계,1,7,2014년11월
8,11601사과-계,1,7,2014년11월
9,121채소류-계,"108,035,130","47,099,185",2014년11월
10,12113시금치-계,0,0,2014년11월
11,12121무-계,"7,677,722","2,113,998",2014년11월
12,12123당근-계,"85,222,393","38,636,856",2014년11월
13,12132오이-계,"15,135,014","6,348,322",2014년11월
14,12161고추-계,1,9,2014년11월
15,2축산물-계,"353,175","1,901,703",2014년11월
16,242난류-계,"353,175","1,901,703",2014년11월
17,24201조란-계,"353,175","1,901,703",2014년11월
18,총계,"173,859,132","121,918,927",2015년11월
19,1농산물-계,"173,432,283","119,643,873",2015년11월
20,111곡류-계,"73,333,276","74,162,371",2015년11월
21,11101쌀-계,"73,333,276","74,162,371",2015년11월
22,112서류-계,"425,341","941,761",2015년11월
23,11201감자-계,"263,525","797,683",2015년11월
24,11202고구마-계,"161,816","144,078",2015년11월
25,116과실류-계,"54,708","80,368",2015년11월
26,11601사과-계,"54,708","80,368",2015년11월
27,121채소류-계,"99,618,958","44,459,373",2015년11월
28,12113시금치-계,8,97,2015년11월
29,12121무-계,"3,220,709","778,843",2015년11월
30,12123당근-계,"83,278,411","39,094,510",2015년11월
31,12132오이-계,"13,119,830","4,585,923",2015년11월
32,12161고추-계,0,0,2015년11월
33,2축산물-계,"426,849","2,275,054",2015년11월
34,242난류-계,"426,849","2,275,054",2015년11월
35,24201조란-계,"426,849","2,275,054",2015년11월
0,총계,"181,012,250","114,577,321",2014년12월
1,1농산물-계,"180,640,807","112,536,644",2014년12월
2,111곡류-계,"60,533,168","60,301,312",2014년12월
3,11101쌀-계,"60,533,168","60,301,312",2014년12월
4,112서류-계,"305,401","587,077",2014년12월
5,11201감자-계,"158,584","441,309",2014년12월
6,11202고구마-계,"146,817","145,768",2014년12월
7,116과실류-계,1,7,2014년12월
8,11601사과-계,1,7,2014년12월
9,121채소류-계,"119,802,237","51,648,248",2014년12월
10,12113시금치-계,11,44,2014년12월
11,12121무-계,"8,286,018","2,281,873",2014년12월
12,12123당근-계,"94,624,393","42,381,835",2014년12월
13,12132오이-계,"16,891,814","6,984,487",2014년12월
14,12161고추-계,1,9,2014년12월
15,2축산물-계,"371,443","2,040,677",2014년12월
16,242난류-계,"371,443","2,040,677",2014년12월
17,24201조란-계,"371,443","2,040,677",2014년12월
18,총계,"190,714,186","131,685,053",2015년12월
19,1농산물-계,"190,253,581","129,230,812",2015년12월
20,111곡류-계,"78,384,018","79,101,773",2015년12월
